symbol,lonaName,shortName,Acronym,Sector,Announced Date,Due Date,Distribution Date,Amount,Distribution Way
2040,Saudi Ceramic Co.,SAUDI CERAMICS,SAUDI CERAMICS,Capital Goods,2022-02-17,2022-02-21,2022-03-03,0.75,Account Transfer
4013,Dr. Sulaiman Al Habib Medical Services Group,SULAIMAN ALHABIB,SULAIMAN ALHABIB,Health Care Equipment & Svc,2022-02-20,2022-04-18,2022-04-27,0.7,Account Transfer
4150,Arriyadh Development Co.,ARDCO,ARDCO,"Real Estate Mgmt & Dev't",2022-02-20,2022-05-12,2022-05-31,0.5,Account Transfer
4012,Thob Al Aseel Co.,ALASEEL,ALASEEL,Consumer Durables & Apparel,2022-02-21,2022-04-12,2022-04-26,0.75,Account Transfer
1060,Saudi British Bank,SABB,SABB,Banks,2022-02-21,2022-04-17,2022-04-25,0.36,Account Transfer
7010,Saudi Telecom Co.,STC,STC,Telecommunication Services,2022-02-21,2022-02-27,2022-03-17,1,Account Transfer
4280,Kingdom Holding Co.,KINGDOM,KINGDOM,Diversified Financials,2022-02-27,2022-09-29,2022-10-16,0.07,Account Transfer
4280,Kingdom Holding Co.,KINGDOM,KINGDOM,Diversified Financials,2022-02-27,2022-06-30,2022-07-14,0.07,Account Transfer
4280,Kingdom Holding Co.,KINGDOM,KINGDOM,Diversified Financials,2022-02-27,2022-04-17,2022-04-26,0.07,Account Transfer
3010,Arabian Cement Co.,ACC,ACC,Materials,2022-02-28,2022-04-17,2022-05-12,1.5,Account Transfer
2190,Saudi Industrial Services Co.,SISCO,SISCO,Transportation,2022-03-02,2022-03-10,2022-03-27,0.4,Account Transfer
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,2022-03-03,2022-04-12,2022-04-24,1.25,Account Transfer
1111,Saudi Tadawul Group Holding Co.,TADAWUL GROUP,TADAWUL GROUP,Diversified Financials,2022-03-06,2022-05-12,2022-05-23,3,Account Transfer
4334,AL Maather REIT Fund,AL MAATHER REIT,AL MAATHER REIT,REITs,2022-03-07,2022-03-09,2022-03-20,0.57,Account Transfer
4342,Jadwa REIT Saudi Fund,JADWA REIT SAUDI,JADWA REIT SAUDI,REITs,2022-03-07,2022-03-13,2022-03-30,0.2,Account Transfer
4071,Arabian Contracting Services Co.,ALARABIA,ALARABIA,Media and Entertainment,2022-03-07,2022-05-10,2022-05-19,1.86,Account Transfer
4003,United Electronics Co.,EXTRA,EXTRA,Retailing,2022-03-08,2022-04-14,2022-04-28,2.5,Account Transfer
4190,Jarir Marketing Co.,JARIR,JARIR,Retailing,2022-03-09,2022-03-14,2022-03-23,1.95,Account Transfer
3003,City Cement Co.,CITY CEMENT,CITY CEMENT,Materials,2022-03-10,2022-03-17,2022-03-30,0.5,Account Transfer
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,2022-03-13,2022-04-11,2022-04-26,1.1,Account Transfer
1831,Maharah Human Resources Co.,MAHARAH,MAHARAH,Commercial & Professional Svc,2022-03-13,2022-03-17,2022-03-29,2,Account Transfer
4051,Baazeem Trading Co.,BAAZEEM,BAAZEEM,Retailing,2022-03-13,2022-05-09,2022-05-23,1.75,Account Transfer
2120,Saudi Advanced Industries Co.,SAIC,SAIC,Diversified Financials,2022-03-13,2022-05-31,2022-06-15,0.75,Account Transfer
4320,Alandalus Property Co.,ALANDALUS,ALANDALUS,"Real Estate Mgmt & Dev't",2022-03-13,2022-03-16,2022-03-28,0.25,Account Transfer
3002,Najran Cement Co.,NAJRAN CEMENT,NAJRAN CEMENT,Materials,2022-03-16,2022-04-13,2022-04-24,0.25,Account Transfer
1212,Astra Industrial Group,ASTRA INDUSTRIAL,ASTRA INDUSTRIAL,Capital Goods,2022-03-16,2022-04-21,2022-04-28,1.5,Account Transfer
5110,Saudi Electricity Co.,SAUDI ELECTRICITY,SAUDI ELECTRICITY,Utilities,2022-03-16,2022-05-17,2022-06-06,0.7,Account Transfer
1202,Middle East Paper Co.,MEPCO,MEPCO,Materials,2022-03-17,2022-06-13,2022-06-23,1,Account Transfer
3005,Umm Al-Qura Cement Co.,UACC,UACC,Materials,2022-03-17,2022-05-10,2022-05-25,0.25,Account Transfer
1303,Electrical Industries Co.,EIC,EIC,Capital Goods,2022-03-17,2022-04-20,2022-05-17,1,Account Transfer
4011,Lazurde Company for Jewelry,LAZURDE,LAZURDE,Consumer Durables & Apparel,2022-03-17,2022-06-30,2022-07-28,0.25,Account Transfer
8250,Gulf Insurance Group,GIG,GIG,Insurance,2022-03-17,2022-05-15,2022-06-02,1,Account Transfer
2222,Saudi Arabian Oil Co.,SAUDI ARAMCO,SAUDI ARAMCO,Energy,2022-03-20,2022-03-22,2022-03-31,0.3518,Account Transfer
2081,Alkhorayef Water and Power Technologies Co.,AWPT,AWPT,Utilities,2022-03-20,2022-03-22,2022-03-30,1.5,Account Transfer
4261,Theeb Rent a Car Co.,THEEB,THEEB,Transportation,2022-03-21,2022-04-10,2022-04-20,0.54,Account Transfer
2281,Tanmiah Food Co.,TANMIAH,TANMIAH,Food & Beverages,2022-03-23,2022-04-14,2022-04-28,0.51,Account Transfer
1182,Amlak International Finance Co.,AMLAK,AMLAK,Banks,2022-03-23,2022-05-17,2022-05-31,0.85,Account Transfer
7203,Elm Co.,ELM,ELM,Software & Services,2022-03-23,2022-05-09,2022-05-22,3,Account Transfer
2030,Saudi Arabia Refineries Co.,SARCO,SARCO,Energy,2022-03-24,2022-06-28,2022-07-14,0.5,Account Transfer
4007,Al Hammadi Holding,ALHAMMADI,ALHAMMADI,Health Care Equipment & Svc,2022-03-24,2022-04-10,2022-04-19,0.4,Account Transfer
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,SPIMACO,SPIMACO,"Pharma, Biotech & Life Science",2022-03-24,2022-06-08,2022-06-27,0.6,Account Transfer
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,2022-03-24,2022-04-11,2022-04-24,0.75,Account Transfer
3090,Tabuk Cement Co.,TCC,TCC,Materials,2022-03-27,2022-04-21,2022-05-15,0.25,Account Transfer
4162,Almunajem Foods Co.,ALMUNAJEM,ALMUNAJEM,Food & Staples Retailing,2022-03-27,2022-06-01,2022-06-12,2,Account Transfer
3004,Northern Region Cement Co.,NORTHERN CEMENT,NORTHERN CEMENT,Materials,2022-03-28,2022-04-10,2022-04-20,0.25,Account Transfer
2330,Advanced Petrochemical Co.,ADVANCED,ADVANCED,Materials,2022-03-29,2022-05-12,2022-05-22,0.55,Account Transfer
2150,The National Company for Glass Industries,ZOUJAJ,ZOUJAJ,Materials,2022-03-30,2022-05-18,2022-06-02,0.5,Account Transfer
2320,Al-Babtain Power and Telecommunication Co.,ALBABTAIN,ALBABTAIN,Capital Goods,2022-03-30,2022-05-08,2022-05-25,0.5,Account Transfer
4260,United International Transportation Co.,BUDGET SAUDI,BUDGET SAUDI,Transportation,2022-03-30,2022-05-17,2022-06-02,1.3,Account Transfer
4161,BinDawood Holding Co.,BINDAWOOD,BINDAWOOD,Food & Staples Retailing,2022-03-30,2022-04-10,2022-04-24,0.65,Account Transfer
4344,SEDCO Capital REIT Fund,SEDCO CAPITAL REIT,SEDCO CAPITAL REIT,REITs,2022-03-31,2022-04-11,2022-05-12,0.1725,Account Transfer
2090,National Gypsum Co.,NGC,NGC,Materials,2022-03-31,2022-05-26,2022-06-09,1,Account Transfer
4339,Derayah REIT Fund,DERAYAH REIT,DERAYAH REIT,REITs,2022-04-03,2022-04-17,2022-05-22,0.18,Account Transfer
4050,Saudi Automotive Services Co.,SASCO,SASCO,Retailing,2022-04-14,2022-06-14,2022-06-29,0.25,Account Transfer
